Distance_(pixels),Gray_Value
0,28455.479
1,28423.236
2,28355.912
3,28370.938
4,28306.797
5,28290.453
6,28383.834
7,28537.387
8,28588.125
9,28726.5
10,28927.371
11,29378.484
12,30058.494
13,30631.035
14,31014.051
15,31400.809
16,31522.012
17,31664.41
18,31707.154
19,31739.705
20,31628.529
21,31587.582
22,31638.877
23,31722.215
24,31697.502
25,31671.662
26,31802.373
27,31741.559
28,31591.32
29,31338.791
30,31266.756
31,31098.641
32,30775.834
33,30264.602
34,29783.262
35,29450.107
36,29140.68
37,28886.479
38,28845.947
39,28991.254
40,28981.627
41,28960.793
42,28893.473
43,28771.152
44,28990.162
45,29093.273
46,29113.107
47,29214.172
48,29185.984
49,29166.453
50,29145.697
