Distance_(pixels),Gray_Value
0,28161.957
1,28349.32
2,28554.754
3,28598.754
4,28700.367
5,28802.762
6,28784.498
7,28966.965
8,29095.941
9,29267.908
10,29278.057
11,29502.795
12,29600.781
13,29345.654
14,29162.436
15,29106.207
16,29347.646
17,29322.213
18,29257.057
19,29404.471
20,29498.895
21,29548.395
22,29666.135
23,29461.547
24,29371.629
25,29302.15
26,29030.447
27,29029.648
28,28964.441
29,28649.312
30,28598.27
31,28527.947
32,28527.617
33,28576.549
34,28408.916
35,28323.256
36,28247.555
37,28252.764
38,28191.805
