Distance_(pixels),Gray_Value
0,28419.936
1,28444.15
2,28410.445
3,28512.93
4,28479.467
5,28646.672
6,28654.182
7,28597.412
8,28611.264
9,28662.68
10,28950.025
11,29453.365
12,29739.568
13,30326.617
14,30848.574
15,31240.586
16,31367.727
17,31540.898
18,31645.99
19,31625.279
20,31763.436
21,31732.229
22,31620.838
23,31598.783
24,31786.254
25,31796.781
26,31697.158
27,31660.15
28,31629.547
29,31529.633
30,31529.223
31,31455.129
32,31252.186
33,31026.541
34,30700.666
35,30343.744
36,29835.873
37,29228.746
38,28937.551
39,29102.439
40,29049.115
41,28933.355
