Distance_(pixels),Gray_Value
0,28987.598
1,29082.107
2,29055.803
3,29148.57
4,29083.154
5,28976.65
6,29187.973
7,28998.818
8,29170.953
9,29121.957
10,29325.889
11,29780.377
12,29964.441
13,30603.006
14,31007.094
15,31250.5
16,31240.535
17,31598.5
18,31727.264
19,31634.371
20,31520.863
21,31903.961
22,31743.812
23,31593.398
24,31786.752
25,31699.473
26,31692.428
27,31550.768
28,31624.619
29,31636.682
30,31620.314
31,31523.725
32,31134.828
33,30819.801
34,30174.367
35,29395.596
36,28773.559
37,28604.293
38,28512.445
39,28464.678
40,28394.123
41,28639.182
42,28479.184
43,28378.324
44,28348.109
45,28113.309
