Distance_(pixels),Gray_Value
0,28440.881
1,28596.951
2,28656.021
3,28727.605
4,28963.104
5,29261.277
6,29478.234
7,29497.609
8,29532.99
9,29298.428
10,29263.596
11,29409.816
12,29603.512
13,29603.143
14,29485.445
15,29466.732
16,29411.035
17,29423.516
18,29375.529
19,29208.703
20,29221.068
21,29245.18
22,29176.92
23,29227.904
24,29128.602
25,28964.127
26,28953.928
27,28865.574
28,28727.562
29,28633.705
30,28543.338
31,28509.271
32,28475.295
33,28475.625
34,28443.471
35,28442.508
36,28403.285
37,28311.459
38,28318.23
39,28279.49
40,28328.875
