Distance_(pixels),Gray_Value
0,28793.822
1,28788.598
2,28883.092
3,28768.961
4,28780.439
5,28847.119
6,28666.734
7,28857.557
8,28843.738
9,28797.791
10,28980.098
11,29140.381
12,29464.088
13,29814.305
14,30273.457
15,30930.146
16,31077.859
17,31397.369
18,31723.945
19,31653.463
20,31677.953
21,31735.15
22,31594.09
23,31653.391
24,31760.018
25,31806.572
26,31698.74
27,31525.641
28,31626.047
29,31571.555
30,31657.518
31,31508.137
32,31365.943
33,31204.504
34,30949.762
35,30300.127
36,29799.166
37,29135.695
38,28889.945
39,28746.434
40,28736.432
41,28569.02
42,28652.744
43,28721.658
44,28619.566
45,28413.764
