Energy(eV), Photocathode_Response
3033.91, 0.5622
3070.75, 0.5556
3108.00, 0.5556
3145.69, 0.5556
3183.99, 0.5361
3222.66, 0.5298
3222.71, 0.5234
3261.80, 0.5234
3301.46, 0.5112
3341.55, 0.5051
3382.08, 0.5051
3423.15, 0.4992
3464.89, 0.4759
3506.96, 0.4703
3549.61, 0.4592
3592.72, 0.4538
3636.35, 0.4484
3680.56, 0.4379
3725.26, 0.4327
3770.50, 0.4276
3816.29, 0.4224
3862.64, 0.4175
3909.55, 0.4126
3957.09, 0.4029
4005.14, 0.3981
4053.78, 0.3934
4103.01, 0.3888
4152.90, 0.3796
4203.34, 0.3751
4254.38, 0.3707
4306.05, 0.3663
4358.34, 0.3620
 


