time/ns	dene
0.0	1.631571e+23
0.010	1.631571e+23
0.020	1.631571e+23
0.030	1.8331941e+23
0.040	2.117245e+23
0.050	2.2363481e+23
0.060	2.31193e+23
0.070	2.5147853e+23
0.080	2.442747e+23
0.090	2.638674e+23
0.100	2.588734e+23
0.110	2.76639e+23
0.120	2.642588e+23
0.130	2.8948444e+23
0.140	2.9533892e+23
0.150	2.927435e+23
0.160	3.1659372e+23
0.170	3.2994902e+23
0.180	3.3848172e+23
0.190	3.5311604e+23
0.200	3.716087e+23
0.210	3.75507e+23
0.220	3.721442e+23
0.230	4.0019984e+23
0.240	4.2578551e+23
0.250	4.1050602e+23
0.260	3.932564e+23
0.270	4.243837e+23
0.280	4.419668e+23
0.290	4.4138032e+23
0.300	4.134184e+23
0.310	4.166814e+23
0.320	4.4134433e+23
0.330	4.5384942e+23
0.340	4.541806e+23
0.350	4.4594232e+23
0.360	4.199174e+23
0.370	4.3162682e+23
0.380	4.534435e+23
0.390	4.681107e+23
0.400	4.745665e+23
0.410	4.719781e+23
0.420	4.613225e+23
0.430	4.454424e+23
0.440	4.337096e+23
0.450	4.5481611e+23
0.460	4.719663e+23
0.470	4.842465e+23
0.480	4.91541e+23
0.490	4.927e+23
0.500	4.877772e+23
0.510	4.781879e+23
0.520	4.6441274e+23
0.530	4.495797e+23
0.540	4.348277e+23
0.550	4.4544693e+23
0.560	4.6139731e+23
0.570	4.77378e+23
0.580	4.8983722e+23
0.590	5.0049954e+23
0.600	5.088408e+23
0.610	5.313126e+23
0.620	5.576133e+23
0.630	5.815177e+23
0.640	6.0369423e+23
0.650	6.3820092e+23
0.660	6.728347e+23
0.670	7.1833804e+23
0.680	7.66975e+23
0.690	8.0000113e+23
0.700	8.14286e+23
0.710	8.083427e+23
0.720	7.8760103e+23
0.730	7.732228e+23
0.740	7.5719841e+23
0.750	7.3540063e+23
0.760	6.9732021e+23
0.770	6.542048e+23
0.780	6.1286381e+23
0.790	5.7620084e+23
0.800	5.4801572e+23
0.810	5.191764e+23
0.820	5.009699e+23
0.830	4.84991e+23
0.840	4.6907504e+23
0.850	4.520905e+23
0.860	4.3631132e+23
0.870	4.2494751e+23
0.880	4.164061e+23
0.890	4.077224e+23
0.900	3.984643e+23
0.910	3.8872921e+23
0.920	3.799445e+23
0.930	3.730783e+23
0.940	3.684427e+23
0.950	3.634071e+23
0.960	3.597483e+23
0.970	3.541727e+23
0.980	3.498568e+23
0.991	3.445746e+23
1.000	3.386722e+23
1.010	3.3482004e+23
1.020	3.30943e+23
1.030	3.297418e+23
1.041	3.279794e+23
1.050	3.253707e+23
1.060	3.240933e+23
1.070	3.208147e+23
1.080	3.174258e+23
1.091	3.1474771e+23
1.100	3.112693e+23
1.110	3.0797491e+23
1.120	3.0729591e+23
1.130	3.069589e+23
1.140	3.066312e+23
1.150	3.0599581e+23
1.160	3.050888e+23
1.170	3.04027e+23
1.181	3.0310713e+23
1.190	3.0207653e+23
1.200	3.010202e+23
1.210	3.001873e+23
1.220	2.9941744e+23
1.230	3.00357e+23
1.240	3.0159111e+23
1.250	3.030666e+23
1.261	3.050467e+23
1.270	3.0704663e+23
1.281	3.095667e+23
1.290	3.1200754e+23
