time/ns,Line 0/um,Line 1/um,Line 2/um,Line 3/um,Line 4/um,Line 5/um,Line 6/um,Line 7/um,Line 8/um,Line 9/um,Line 10/um,Line 11/um,Line 12/um,Line 13/um,Line 14/um,Line 15/um,Line 16/um,Line 17/um,Line 18/um,Line 19/um,Line 20/um,Line 21/um,Line 22/um,Line 23/um,Line 24/um,Line 25/um,Line 26/um,Line 27/um,Line 28/um,Line 29/um,Line 30/um,Line 31/um,Line 32/um,Line 33/um,Line 34/um,Line 35/um,Line 36/um,Line 37/um,Line 38/um,Line 39/um,Line 40/um,Line 41/um,Line 42/um,Line 43/um,Line 44/um,Line 45/um,Line 46/um,Line 47/um,Line 48/um,Line 49/um,Line 50/um,Line 51/um,Line 52/um,Line 53/um,Line 54/um,Line 55/um,Line 56/um,Line 57/um,Line 58/um,Line 59/um,Line 60/um,Line 61/um,Line 62/um,Line 63/um,Line 64/um,Line 65/um,Line 66/um,Line 67/um,Line 68/um,Line 69/um,Line 70/um,Line 71/um,Line 72/um,Line 73/um,Line 74/um,Line 75/um,Line 76/um,Line 77/um,Line 78/um,Line 79/um,Line 80/um,Line 81/um,Line 82/um,Line 83/um,Line 84/um,Line 85/um,Line 86/um
0.0,3.3,7.071429,11.289473000000001,15.60811,19.962294,24.33297,28.712600000000002,33.097632,37.48618,41.87712,46.26979,50.66373,55.058640000000004,59.454299999999996,63.850553000000005,68.247294,72.644432,77.0419,81.439632,85.8376,90.23577,94.6341,99.03259,103.4312,107.82992,112.22879999999999,116.62769999999999,121.02669999999999,125.42572,129.82489999999999,134.22404,138.6233,143.0226,147.4219,151.8213,156.2207,160.6201,165.0196,169.41910000000001,173.8186,178.21811,182.6177,187.01724,191.4169,195.8165,200.21611000000001,204.6158,209.01544,213.41511,217.81481,220.02343000000002,220.07730999999998,220.1474,220.23841,220.3568,220.51069999999999,220.7108,220.9709,221.309,221.7502,222.2502,222.7502,223.2502,223.75019999999998,224.2502,224.75019999999998,225.5459,226.85469999999998,228.6875,231.2543,234.84940999999998,239.88560999999999,246.9419,254.1119,259.65893,264.0983,267.65072000000004,270.4933,272.7678,274.5876,276.0436,277.20849999999996,278.1405,278.8861,279.4826,279.95983,280.34161
0.010,3.3,7.071429,11.289473000000001,15.60811,19.962294,24.33297,28.712600000000002,33.097632,37.48618,41.87712,46.26979,50.66373,55.058640000000004,59.454299999999996,63.850553000000005,68.247294,72.644432,77.0419,81.439632,85.8376,90.23577,94.6341,99.03259,103.4312,107.82992,112.22879999999999,116.62769999999999,121.02669999999999,125.42572,129.82489999999999,134.22404,138.6233,143.0226,147.4219,151.8213,156.2207,160.6201,165.0196,169.41910000000001,173.8186,178.21811,182.6177,187.01724,191.4169,195.8165,200.21611000000001,204.6158,209.01544,213.41511,217.81481,220.02343000000002,220.07730999999998,220.1474,220.23841,220.3568,220.51069999999999,220.7108,220.9709,221.309,221.7502,222.2502,222.7502,223.2502,223.75019999999998,224.2502,224.75019999999998,225.5459,226.85469999999998,228.6875,231.2543,234.84940999999998,239.88560999999999,246.9419,254.1119,259.65893,264.0983,267.65072000000004,270.4933,272.7678,274.5876,276.0436,277.20849999999996,278.1405,278.8861,279.4826,279.95869999999996,280.32939999999996
0.020,3.3,7.071429,11.289473000000001,15.60811,19.962294,24.33297,28.712600000000002,33.097632,37.48618,41.87712,46.26979,50.66373,55.058640000000004,59.454299999999996,63.850553000000005,68.247294,72.644432,77.0419,81.439632,85.8376,90.23577,94.6341,99.03259,103.4312,107.82992,112.22879999999999,116.62769999999999,121.02669999999999,125.42572,129.82489999999999,134.22404,138.6233,143.0226,147.4219,151.8213,156.2207,160.6201,165.0196,169.41910000000001,173.8186,178.21811,182.6177,187.01724,191.4169,195.8165,200.21611000000001,204.6158,209.01544,213.41511,217.81481,220.02343000000002,220.07730999999998,220.1474,220.23841,220.3568,220.51069999999999,220.7108,220.9709,221.309,221.7502,222.2502,222.7502,223.2502,223.75019999999998,224.2502,224.75019999999998,225.5459,226.85469999999998,228.6875,231.2543,234.84940999999998,239.88560999999999,246.9419,254.1119,259.65893,264.0983,267.65072000000004,270.4933,272.7678,274.5876,276.0436,277.20849999999996,278.1404,278.88484,279.4755,279.9282,280.2551
0.030,3.3,7.071429,11.289473000000001,15.60811,19.962294,24.33297,28.712600000000002,33.097632,37.48618,41.87712,46.26979,50.66373,55.058640000000004,59.454299999999996,63.850553000000005,68.247294,72.644432,77.0419,81.439632,85.8376,90.23577,94.6341,99.03259,103.4312,107.82992,112.22879999999999,116.62769999999999,121.02669999999999,125.42572,129.82489999999999,134.22404,138.6233,143.0226,147.4219,151.8213,156.2207,160.6201,165.0196,169.41910000000001,173.8186,178.21811,182.6177,187.01724,191.4169,195.8165,200.21611000000001,204.6158,209.01544,213.41511,217.81481,220.02343000000002,220.07730999999998,220.1474,220.23841,220.3568,220.51069999999999,220.7108,220.9709,221.309,221.7502,222.2502,222.7502,223.2502,223.75019999999998,224.2502,224.75019999999998,225.5459,226.85469999999998,228.6875,231.2543,234.84940999999998,239.88560999999999,246.9419,254.1119,259.65893,264.0983,267.65072000000004,270.4933,272.7678,274.5876,276.0434,277.2072,278.13604,278.8707,279.4353,279.84512,280.15004
0.040,3.3,7.071429,11.289473000000001,15.60811,19.962294,24.33297,28.712600000000002,33.097632,37.48618,41.87712,46.26979,50.66373,55.058640000000004,59.454299999999996,63.850553000000005,68.247294,72.644432,77.0419,81.439632,85.8376,90.23577,94.6341,99.03259,103.4312,107.82992,112.22879999999999,116.62769999999999,121.02669999999999,125.42572,129.82489999999999,134.22404,138.6233,143.0226,147.4219,151.8213,156.2207,160.6201,165.0196,169.41910000000001,173.8186,178.21811,182.6177,187.01724,191.4169,195.8165,200.21611000000001,204.6158,209.01544,213.41511,217.81481,220.02343000000002,220.07730999999998,220.1474,220.23841,220.3568,220.51069999999999,220.7108,220.9709,221.309,221.7502,222.2502,222.7502,223.2502,223.75019999999998,224.2502,224.75019999999998,225.5459,226.85469999999998,228.6875,231.2543,234.84940999999998,239.88560999999999,246.9419,254.1119,259.65893,264.0983,267.65072000000004,270.4933,272.76763,274.5866,276.04011,277.19944,278.11763,278.82622,279.34493000000003,279.7151,280.09232
0.050,3.3,7.071429,11.289473000000001,15.60811,19.962294,24.33297,28.712600000000002,33.097632,37.48618,41.87712,46.26979,50.66373,55.058640000000004,59.454299999999996,63.850553000000005,68.247294,72.644432,77.0419,81.439632,85.8376,90.23577,94.6341,99.03259,103.4312,107.82992,112.22879999999999,116.62769999999999,121.02669999999999,125.42572,129.82489999999999,134.22404,138.6233,143.0226,147.4219,151.8213,156.2207,160.6201,165.0196,169.41910000000001,173.8186,178.21811,182.6177,187.01724,191.4169,195.8165,200.21611000000001,204.6158,209.01544,213.41511,217.81481,220.02343000000002,220.07730999999998,220.1474,220.23841,220.3568,220.51069999999999,220.7108,220.9709,221.309,221.7502,222.2502,222.7502,223.2502,223.75019999999998,224.2502,224.75019999999998,225.5459,226.85469999999998,228.6875,231.2543,234.84940999999998,239.88560999999999,246.9419,254.1119,259.65893,264.0983,267.65072000000004,270.4929,272.76594,274.5821,276.0302,277.17934,278.07343000000003,278.73402,279.1966,279.59434,280.1522
0.060,3.3,7.071429,11.289473000000001,15.60811,19.962294,24.33297,28.712600000000002,33.097632,37.48618,41.87712,46.26979,50.66373,55.058640000000004,59.454299999999996,63.850553000000005,68.247294,72.644432,77.0419,81.439632,85.8376,90.23577,94.6341,99.03259,103.4312,107.82992,112.22879999999999,116.62769999999999,121.02669999999999,125.42572,129.82489999999999,134.22404,138.6233,143.0226,147.4219,151.8213,156.2207,160.6201,165.0196,169.41910000000001,173.8186,178.21811,182.6177,187.01724,191.4169,195.8165,200.21611000000001,204.6158,209.01544,213.41511,217.81481,220.02343000000002,220.07730999999998,220.1474,220.23841,220.3568,220.51069999999999,220.7108,220.9709,221.309,221.7502,222.2502,222.7502,223.2502,223.75019999999998,224.2502,224.75019999999998,225.5459,226.85469999999998,228.6875,231.2543,234.84940999999998,239.88560999999999,246.9419,254.1119,259.65893,264.0983,267.65049999999997,270.491,272.761,274.57189999999997,276.0109,277.1401,277.98894,278.5874,279.0312,279.55971,280.32874
0.070,3.3,7.071429,11.289473000000001,15.60811,19.962294,24.33297,28.712600000000002,33.097632,37.48618,41.87712,46.26979,50.66373,55.058640000000004,59.454299999999996,63.850553000000005,68.247294,72.644432,77.0419,81.439632,85.8376,90.23577,94.6341,99.03259,103.4312,107.82992,112.22879999999999,116.62769999999999,121.02669999999999,125.42572,129.82489999999999,134.22404,138.6233,143.0226,147.4219,151.8213,156.2207,160.6201,165.0196,169.41910000000001,173.8186,178.21811,182.6177,187.01724,191.4169,195.8165,200.21611000000001,204.6158,209.01544,213.41511,217.81481,220.02343000000002,220.07730999999998,220.1474,220.23841,220.3568,220.51069999999999,220.7108,220.9709,221.309,221.7502,222.2502,222.7502,223.2502,223.75019999999998,224.2502,224.75019999999998,225.5459,226.85469999999998,228.6875,231.2543,234.84940999999998,239.88560999999999,246.9419,254.1119,259.65893,264.0983,267.64931,270.4866,272.7513,274.5541,275.97723,277.06723,277.8517,278.4008,278.91213,279.6222,280.57511
0.080,3.3,7.071429,11.289473000000001,15.60811,19.962294,24.33297,28.712600000000002,33.097632,37.48618,41.87712,46.26979,50.66373,55.058640000000004,59.454299999999996,63.850553000000005,68.247294,72.644432,77.0419,81.439632,85.8376,90.23577,94.6341,99.03259,103.4312,107.82992,112.22879999999999,116.62769999999999,121.02669999999999,125.42572,129.82489999999999,134.22404,138.6233,143.0226,147.4219,151.8213,156.2207,160.6201,165.0196,169.41910000000001,173.8186,178.21811,182.6177,187.01724,191.4169,195.8165,200.21611000000001,204.6158,209.01544,213.41511,217.81481,220.02343000000002,220.07730999999998,220.1474,220.23841,220.3568,220.51069999999999,220.7108,220.9709,221.309,221.7502,222.2502,222.7502,223.2502,223.75019999999998,224.2502,224.75019999999998,225.5459,226.85469999999998,228.6875,231.2543,234.84940999999998,239.88560999999999,246.9419,254.1119,259.65893,264.09793,267.6465,270.4785,272.73522,274.5258,275.91832999999997,276.94663,277.6633,278.2212,278.86983,279.74423,280.87330000000003
0.090,3.3,7.071429,11.289473000000001,15.60811,19.962294,24.33297,28.712600000000002,33.097632,37.48618,41.87712,46.26979,50.66373,55.058640000000004,59.454299999999996,63.850553000000005,68.247294,72.644432,77.0419,81.439632,85.8376,90.23577,94.6341,99.03259,103.4312,107.82992,112.22879999999999,116.62769999999999,121.02669999999999,125.42572,129.82489999999999,134.22404,138.6233,143.0226,147.4219,151.8213,156.2207,160.6201,165.0196,169.41910000000001,173.8186,178.21811,182.6177,187.01724,191.4169,195.8165,200.21611000000001,204.6158,209.01544,213.41511,217.81481,220.02343000000002,220.07730999999998,220.1474,220.23841,220.3568,220.51069999999999,220.7108,220.9709,221.309,221.7502,222.2502,222.7502,223.2502,223.75019999999998,224.2502,224.75019999999998,225.5459,226.85469999999998,228.6875,231.2543,234.84940999999998,239.88560999999999,246.9419,254.1119,259.65893,264.09683,267.6415,270.4662,272.7127,274.48253,275.82544,276.7815,277.4579,278.0912,278.88601,279.88849999999996,281.24021
