time/ns	e/keV
0.0	0.001
0.010	0.0087517844
0.020	0.01440249
0.030	0.0214979
0.040	0.03100833
0.050	0.03329171
0.060	0.040436573
0.070	0.054792892
0.080	0.07451076
0.090	0.085242301
0.100	0.092526711
0.110	0.09664532
0.120	0.1029253
0.130	0.10383854
0.140	0.10625304
0.150	0.1142459
0.160	0.1133236
0.170	0.12201102
0.180	0.1374738
0.190	0.12571053
0.200	0.1248822
0.210	0.12181813
0.220	0.1396784
0.230	0.1307033
0.240	0.1376372
0.250	0.1295136
0.260	0.1281989
0.270	0.1303333
0.280	0.13664743
0.290	0.12681613
0.300	0.1266036
0.310	0.12971031
0.320	0.1350124
0.330	0.13056692
0.340	0.13567703
0.350	0.15099924
0.360	0.1396825
0.370	0.13517414
0.380	0.13887581
0.390	0.139833
0.400	0.1419115
0.410	0.14217373
0.420	0.14439153
0.430	0.14410382
0.440	0.14576013
0.450	0.1463589
0.460	0.1460662
0.470	0.14744792
0.480	0.14670474
0.490	0.1472482
0.500	0.1478874
0.510	0.148617
0.520	0.1489134
0.530	0.1505287
0.540	0.1500207
0.550	0.15157061
0.560	0.14937742
0.570	0.152282
0.580	0.15233673
0.590	0.1531806
0.600	0.1532242
0.610	0.1529105
0.620	0.1532306
0.630	0.153638
0.640	0.15310052
0.650	0.1551193
0.660	0.155324
0.670	0.15569
0.680	0.15611301
0.690	0.15618623
0.700	0.15603443
0.710	0.15848462
0.720	0.1583977
0.730	0.15876173
0.740	0.15789194
0.750	0.1561769
0.760	0.15503843
0.770	0.1555165
0.780	0.155078
0.790	0.15573164
0.800	0.15759731
0.810	0.1589293
0.820	0.15982384
0.830	0.1578009
0.840	0.1622631
0.850	0.16191564
0.860	0.16179883
0.870	0.16505384
0.880	0.16456432
0.890	0.1664581
0.900	0.16565792
0.910	0.1668075
0.920	0.1674673
0.930	0.167179
0.940	0.1687538
0.950	0.1664002
0.960	0.16819153
0.970	0.16762331
0.980	0.1678707
0.991	0.17141972
1.000	0.1669231
1.010	0.17312631
1.020	0.16866651
1.030	0.1672925
1.041	0.17010903
1.050	0.16589932
1.060	0.1693939
1.070	0.16672042
1.080	0.1631708
1.091	0.16737742
1.100	0.16377061
1.110	0.1608859
1.120	0.16345931
1.130	0.1604733
1.140	0.15822164
1.150	0.15993323
1.160	0.1572161
1.170	0.1558506
1.181	0.1567404
1.190	0.1572847
1.200	0.1612922
1.210	0.16495971
1.220	0.16974732
1.230	0.1743657
1.240	0.1789127
1.250	0.18395563
1.261	0.1901187
1.270	0.1958951
1.281	0.202639
1.290	0.20896872
1.300	0.2166928
1.310	0.2248636
1.320	0.23362153
1.330	0.2441093
1.340	0.25551453
1.350	0.26811394
1.360	0.28150972
1.370	0.29817244
1.380	0.31680452
1.390	0.33742392
1.400	0.3651148
1.410	0.4003673
1.420	0.45038762
1.430	0.52839261
1.440	0.6846158
1.450	0.9120051
1.460	0.8776503
1.470	0.85196202
1.480	0.8315341
1.490	0.81157892
1.500	0.7905434
1.510	0.76895993
1.520	0.7461891
1.530	0.72628641
1.540	0.7103514
1.550	0.6970763
1.560	0.6874513
1.570	0.68202954
1.580	0.6813501
1.590	0.68489801
1.601	0.6939028
1.610	0.7058548
1.620	0.72435444
1.630	0.7480951
1.641	0.780897
1.650	0.81497222
1.660	0.85529971
1.670	0.88911914
1.680	0.9070687
1.690	0.9122848
1.700	0.9092995
1.710	0.9009803
1.720	0.8884363
1.730	0.8747831
1.740	0.85928523
1.750	0.84370553
1.760	0.83203971
1.770	0.8198335
1.780	0.7993112
1.790	0.79014444
1.800	0.7917331
1.810	0.77984642
1.820	0.7573375
1.830	0.7303457
1.840	0.69975113
1.850	0.6738333
1.860	0.6499219
1.870	0.6323974
1.880	0.6185607
1.890	0.60344791
1.900	0.5891032
1.910	0.57607614
1.920	0.56206852
1.930	0.5461345
1.940	0.52392482
1.950	0.501741
1.960	0.47732183
1.970	0.4552574
1.980	0.4348078
1.990	0.4146001
2.000	0.398664
2.010	0.3832499
2.020	0.36865344
2.030	0.3540248
2.040	0.3381138
2.050	0.32301804
2.061	0.3089865
2.070	0.2975467
2.081	0.28648141
2.090	0.2782679
2.100	0.2688323
2.110	0.2611965
2.120	0.250864
2.130	0.24006804
2.140	0.23006302
2.151	0.2194028
2.161	0.21291133
2.171	0.2024513
2.181	0.1948607
2.190	0.1905802
2.201	0.1818572
2.210	0.1762704
2.222	0.1710348
2.232	0.16417081
2.242	0.1608558
2.252	0.1541547
2.260	0.152558
2.271	0.14595451
2.280	0.1444519
2.291	0.13787512
2.300	0.1363786
2.310	0.13119612
2.322	0.1282395
2.332	0.1230667
2.342	0.12176664
2.352	0.1160153
2.363	0.1133979
2.370	0.1117016
2.382	0.11041212
2.393	0.10975
2.401	0.10913961
2.413	0.1084606
2.422	0.1080163
2.430	0.1073604
2.444	0.10655831
2.453	0.1060019
2.462	0.10529182
2.472	0.10470611
2.482	0.1040064
2.492	0.1032047
2.5	0.098093152
